ex_id	name	cname	muscle.0	muscle.1	min_reps	max_reps	min_sets	max_sets	img.0	img.1	img.2	desc.0	desc.1	desc.2
12		啞鈴胸前深蹲	upperlegs		10	12	3	4	squats_with_dumbbell_in_front_of_breast2.mp4	squats.jpg		是個非常棒的動作。背部壓力比較小，在執行上也會比背蹲舉容易，可以改善圓背的問題，確保你的髖關節及脊椎，在運動過程中是維持在對的位置。	"動作要領：
雙手捧着啞鈴，將啞鈴擺在胸前，兩手內收，肩胛下壓放鬆。雙腳與髖關節同寬，腳尖朝前（或微微外八），然後屈髖屈膝下蹲：臀部向後移動（往後、往下坐）順勢屈膝下蹲（屈髖屈膝同步進行）膝蓋與腳尖同方向。過程背部維持挺直。保持啞鈴始終貼近身體！如果啞鈴下放遠離身體說明你的軀幹有些前傾了！然後下蹲到大腿平行或微低的位置，中心落在腳掌中部，停留一秒，保持軀幹穩定，腳部向下用力蹬地。伸膝伸髖向上直直蹲起。回到起始動作。過程中，"	"提示：
在動作進行期間，背部始終保持自然弧度，脊椎中立，不要曲屈背部！。
所有的關節運動都要保持同時、同速進行。"
13	Squatting One Leg		upperlegs						squatting_one_leg.jpg					
14		啞鈴橋式提臀	hips		8		3		啞鈴橋式提臀.gif			"完成8次，啞鈴重量5KG（新手2.5KG）
共完成3組
放鬆拉伸"		
15	Cross Boyd Hamemr Curls		forearm						cross_body_hammer_curls.jpg					
16	Alternate Curls Sitting		biceps						alternate_curls_sitting.jpg					
17	Concetrated Bending Arms	啞鈴彎舉 (坐)	biceps						concentrated bending_arms_2.gif	concentrated bending_arms.jpg				
18	Curl with dumbbell grip hammer	啞鈴彎舉 (企)	biceps						curl_with_dumbbell_grip_hammer_2.gif	curl_with_dumbbell_grip_hammer.jpg				
19	Lift Dumbbell on Incline Bench		biceps						lift_dumbbell_on_incline_bench.jpg					
20	Standing Biceps Curls		biceps		10		3		standing_biceps_curls.gif	standing_biceps_curls.jpg		器械：8磅的啞鈴(約合3.6公斤)	動作要領：背部挺直，雙腿稍稍分開，手臂彎曲時呼氣並收縮二頭肌，全程保持背部挺直。	
21	Behind the head	仰卧直臂上拉	biceps		4	5	8	12	behind_the_head_2.gif	behind_the_head.jpg		目的：刺激胸肌外側	"動作要領：仰臥長凳上，兩手正握啞鈴或槓鈴，兩臂直伸，與地面平行。兩腳平踏在地面或長凳上。
兩臂保持平伸，將把啞鈴或槓鈴向上向後拉，並下落到可能的最低點。靜止一秒鐘，讓胸大肌儘量拉伸。然後，收縮胸大肌，把兩臂拉向上，拉向前，直至下落到腿側開始位置。
向上向後拉時吸氣，向上向前回復時呼氣。"	
22	Bench Press		biceps						bench_press_2.gif					
23	Chest Fly	啞鈴飛鳥	biceps		4	5	8	12	chest_fly_2.gif	chest_fly.jpg		目的：飛鳥是增加胸大肌的圍度的。既能發展胸部中溝的肌力，又能發展下胸部的肌力。	動作要領：仰卧，臀肩背貼凳，雙腳平放地上。掌心相對持啞鈴近胸部，然後向上舉起啞鈴，兩臂基本伸直。	肘部稍屈慢慢向兩側下放啞鈴，到最低點時上臂與長凳基本處於同一水平面，肘部彎曲約90度，充分伸展胸肌。啞鈴要緩慢下放，同時吸氣，不要急於求成。抬高肋骨下沿儘量伸展胸肌，到達底部時稍停頓，然後慢慢帶動啞鈴向後上方做「飛鳥」動作，回到開始位置。
24	Decline Chest Fly		biceps						decline_chest_press.jpg					
25	Incline Chest Fly	斜板飛鳥	biceps						incline_chest_fly_2.gif	incline_chest_fly.jpg				
26	Incline Chest Press	上斜啞鈴卧推	biceps		4	5	8	12	incline_chest_press_2.gif	incline_chest_press.jpg		目的：刺激胸肌上側部分	"注意事項：把斜板的角度設置在30度，以達到刺激胸肌的較好姿勢。大於30度，就會使重量過多地作用在三角肌前束上。仰卧斜板上，兩手握啞鈴置於肩的正上方，雙腳平放地面，脊背挺直貼靠斜板，腹肌收緊，頸部伸直。
動作要領：上舉時應遵循三角形的運動軌跡，啞鈴應在胸肩上方身體中線處相遇。動作要平緩流暢，特別關注對胸肌的擠壓，還原時動作要慢。"	
27	Muscle Structure	肌肉分佈	biceps						muscle_structure.jpg					
28	Narrow grow chest press	槓鈴窄距卧推	biceps		4	5	8	12	narrow_grip_chest_press.jpg			目的：刺激胸肌中間部分（中縫）	動作要領：他和前面的平板卧推只是握距上不同。躺在槓鈴床上，使用窄距握槓、雙手撐起槓鈴。雙手平肩。慢慢放下槓鈴，用時1秒到2秒	
29	Bench Dumbbell Sitting	坐姿啞鈴推肩	shoulders	triceps	12		3		bench_dumbbell_sitting_2.gif	bench_dumbbell_sitting.jpg		動作方法: 背部挺直，坐於長凳上，手持啞鈴舉至雙肩連側，掌心向前 緩慢下落動作 將降低啞鈴，直到它是略高於肩部！ 同一軌道向上推起 到初始的位置！重複以上動作		
30	Lift Arms o Incline Bench		shoulders						lift_arms_on_incline_bench.jpg					
31	Lift Dumbbell forward alternatively	啞鈴前平舉（側重前束）	shoulders	tricpes					lift_dumbbell_forward_alternatively.gif	lift_dumbbell_forward_alternatively.jpg		目的：刺激前三角肌		
32	Lift Dumbbell In Hand	啞鈴側平舉（側重中束）	shoulders	tricpes	12		3		lift_dumbbell_in_hand_2.gif	lift_dumbbell_in_hand_2.jpg		目的：刺激中三角肌	——雙手各持啞鈴，自然垂放貼於身體兩側。雙手掌心朝下，伸直手臂，向兩側舉起瓶子直到與肩同高后回到前一步驟。	——雙手各持啞鈴自然垂放在身體兩側，左手虎口朝上直臂將瓶子向前舉到肩膀高度，然後放回身側，換右手重複。雙手同時直臂向前舉起瓶子到肩膀高度，再回到身側。
33	Lift Dumbbell in hand with pressed arms	啞鈴側平舉（側重後束）	shoulders	tricpes					lift_dumbbell_in_hand_with_pressed_arms_3.gif			目的：刺激中後三角肌	"1. 做在瑜珈球上或站著彎腰，軀幹呈現45度背打直並收緊核心。
2. 頭頸放鬆向地面看。
3. 雙手握啞鈴(寶特瓶水)同時抬到高點，靜止約5秒在放下。"	
34	Lifting in one hand side		shoulders						lifting_in_one_hand_side.jpg					
35	Muscle Structure	三頭肌肌肉分佈	shoulders	triceps					muscle_strcture_deltoid.jpg					
36	Seated Shoulder Press Parallel Grip		shoulders						seated_shoulder_press_parallel_grip.jpg					
37	Thrust Dumbbells in slope for rear deltoid		shoulders						thrust_dumbbell_in_slope_rear_deltoid.jpg					
38	Ups of hands forward with one dumbbell		shoulders						ups_of_hands_forward_with_one_dumbbell.jpg					
39	Alternate Dumbbell Bench Press with Rotating the wrist		triceps						alternate_dumbbell_bench_press_with_rotating_the_wrist.jpg					
40	Bench Press lying down with elbows pressed		triceps						bench_press_lying_down_with_elbows_pressed.jpg					
41	Dumbbell overhead extension	頸後啞鈴臂屈伸	triceps						dumbbell_overhead_extension.gif	dumbbell_overhead_extension.jpg	dumbbell_overhead_extension.mp4			
42	Dumbbell Rows	俯身啞鈴臂屈伸	triceps		15		3		dumbbell_rows.mp4	dumbbell_rows.jpg		"動作
1 單腳跪在凳子上，同側手撐在凳子上起穩定作用，另一隻手對握住啞鈴，腰腹收緊，背部挺直，半身與地面平行；
2 沿腰部外側上拉啞鈴，直至手肘超過軀幹，頂峰收縮，停頓一秒，再緩緩放下。"	"要點
1 訓練中，要感受大臂的屈伸，而不是單純的把啞鈴提起來，整個大臂貼住身體運動；
2 啞鈴在運動最頂端，接近腰，在此位置停2-3秒左右，做頂峰收縮；
3 肘尖可以稍稍朝向身子內側一點，整體運動軌跡會更加正確。"	
43	Extension arms with dumbbell lying		triceps						extension_arms_with_dumbbell_lying.jpg					
44	Extension of one hand back in slope		triceps						extension_of_one_hand_back_in_slope.jpg					
45	Triceps kickback	Tricep Kickbacks	triceps		15		3		tricep_kickbacks.gif			器械：8磅的啞鈴(約合3.6公斤)	"1. 呈現跪姿，背部保持挺直，收緊核心肌肉，頭部放鬆看地板。
2. 右手撐地，左手握啞鈴，手肘貼近軀幹，手臂從彎曲到向後伸直。
3. 左右手輪替。"	
		啞鈴前臂彎舉（腕屈肌群訓練）	triceps						啞鈴前臂彎舉.gif			腕屈肌群訓練		
